date,open,high,low,close,adj_close,volume
21/05/2012,10.70149994,10.9989996,10.64099979,10.90550041,10.90550041,71596000
22/05/2012,10.91549969,10.94349957,10.69799995,10.76650047,10.76650047,74662000
23/05/2012,10.73550034,10.87749958,10.55900002,10.86400032,10.86400032,84876000
24/05/2012,10.84899998,10.88300037,10.63500023,10.76200008,10.76200008,62822000
25/05/2012,10.74950027,10.79899979,10.61100006,10.64449978,10.64449978,43428000
29/05/2012,10.71500015,10.82750034,10.61450005,10.73750019,10.73750019,53878000
30/05/2012,10.60700035,10.64900017,10.38749981,10.46150017,10.46150017,81564000
31/05/2012,10.47399998,10.68949986,10.35550022,10.64550018,10.64550018,98880000
13/06/2012,10.42199993,10.5614996,10.36499977,10.41100025,10.41100025,79030000
21/05/2013,10.36999989,10.76749992,10.31849957,10.72850037,10.72850037,85992000
22/05/2013,10.69250011,10.84300041,10.55799961,10.66049957,10.66049957,70878000
23/05/2013,10.73149967,10.92000008,10.72599983,10.88199997,10.88199997,54202000
24/05/2013,10.98250008,11.07450008,10.90550041,10.93999958,10.93999958,70078000
25/05/2013,10.93050003,10.97099972,10.83300018,10.92399979,10.92399979,57540000
29/05/2013,10.87450027,11.04349995,10.76000023,10.82499981,10.82499981,74982000
30/05/2013,10.88249969,10.89999962,10.72599983,10.8210001,10.8210001,56666000
13/06/2012,10.77600002,10.86900043,10.67599964,10.73649979,10.73649979,46504000
14/06/2012,10.76299953,10.82499981,10.62800026,10.72249985,10.72249985,61218000
15/06/2012,10.76449966,10.96650028,10.72299957,10.91749954,10.91749954,75704000
18/06/2012,10.86400032,11.18799973,10.83650017,11.13300037,11.13300037,67392000
19/06/2012,11.16300011,11.26000023,11.08300018,11.20149994,11.20149994,54332000
20/06/2012,11.22550011,11.23700047,11.04199982,11.15100002,11.15100002,48888000
21/06/2012,11.19200039,11.30150032,11.02600002,11.0284996,11.0284996,56860000
22/06/2012,11.09150028,11.12549973,10.96749973,11.1079998,11.1079998,43750000
25/06/2012,11.01500034,11.0795002,10.89999962,11.00349998,11.00349998,47646000
26/06/2012,11.07250023,11.31949997,11.07250023,11.28050041,11.28050041,75082000
27/06/2012,11.25049973,11.375,11.16499996,11.28100014,11.28100014,55984000
28/06/2012,11.1960001,11.23099995,10.9375,11.06550026,11.06550026,59896000
29/06/2012,11.23499966,11.41749954,11.18550014,11.41749954,11.41749954,72288000
02/07/2012,11.46500015,11.46700001,11.31700039,11.4659996,11.4659996,46614000
03/07/2012,11.45699978,11.47649956,11.37950039,11.47649956,11.47649956,26634000
05/07/2012,11.43099976,11.52499962,11.32649994,11.35299969,11.35299969,53646000
06/07/2012,11.31750011,11.44499969,11.20899963,11.25249958,11.25249958,64064000
09/07/2012,11.25,11.30000019,11.17249966,11.25249958,11.25249958,38440000
10/07/2012,11.3125,11.35700035,10.91399956,10.97500038,10.97500038,59642000
